date_de_tirage	boule_1	boule_2	boule_3	boule_4	boule_5	etoile_1	etoile_2
20110506	28	16	20	22	11	4	9
20110429	38	40	25	15	41	1	2
20110422	22	45	48	11	36	1	4
20110415	4	41	6	21	39	2	6
20110408	21	47	23	38	50	6	2
20110401	17	33	22	21	4	4	8
20110325	12	21	6	33	27	7	3
20110318	50	13	26	1	20	7	6
20110311	17	24	37	19	46	2	7
20110304	28	41	25	11	27	8	5
20110225	42	45	13	48	12	3	9
20110218	45	3	49	15	2	9	5
20110211	15	14	12	19	23	7	8
20110204	47	35	11	2	24	5	9
20110128	41	24	23	42	13	5	1
20110121	21	11	13	3	18	5	4
20110114	44	2	24	14	39	7	6
20110107	32	22	1	48	50	7	6
20101231	2	24	43	38	34	1	7
20101224	46	19	42	36	38	8	2
20101217	3	35	29	42	20	3	8
20101210	46	2	10	3	33	8	7
20101203	28	32	46	8	19	4	7
20101126	9	41	36	49	28	7	5
20101119	36	12	15	45	32	9	7
20101112	23	47	7	19	29	6	1
20101105	21	23	33	50	40	5	4
20101029	32	22	16	42	20	8	9
20101022	39	5	11	9	4	3	5
20101015	38	31	2	36	43	7	3
20101008	46	35	39	30	9	6	8
20101001	4	27	6	48	1	1	6
20100924	1	16	48	4	40	1	9
20100917	50	27	38	17	29	3	1
20100910	35	41	21	45	17	5	1
20100903	24	49	47	26	13	4	8
20100827	13	6	30	1	49	1	9
20100820	27	31	5	42	40	6	1
20100813	15	9	47	21	4	7	2
20100806	42	28	13	29	25	4	5
20100730	39	11	3	4	28	8	2
20100723	4	13	37	35	46	9	3
20100716	49	46	45	39	38	7	8
20100709	37	9	49	24	39	3	9
20100702	46	41	36	13	12	8	1
20100625	18	1	8	28	31	9	8
20100618	2	29	31	38	32	4	1
20100611	44	2	36	22	24	2	1
20100604	34	42	17	40	4	9	4
20100528	9	31	32	33	4	3	7
20100521	38	19	50	7	30	4	7
20100514	17	31	43	47	1	3	2
20100507	15	21	6	3	32	7	9
20100430	6	36	22	25	24	3	8
20100423	46	3	7	8	43	6	8
20100416	17	11	26	40	9	9	3
20100409	44	23	24	21	7	3	4
20100402	26	18	12	24	45	5	4
20100326	18	37	8	16	43	2	6
20100319	38	28	30	39	10	7	2
20100312	46	1	26	36	33	7	6
20100305	19	18	49	12	43	9	3
20100226	42	11	29	7	18	7	6
20100219	37	12	38	31	43	3	2
20100212	5	45	1	38	18	6	4
20100205	46	38	34	35	39	3	4
20100129	39	43	30	17	9	7	5
20100122	4	44	27	22	36	9	7
20100115	49	50	26	29	11	4	7
20100108	44	5	14	4	46	9	8
20100101	22	24	27	36	9	7	5
20091225	4	17	5	34	14	5	3
20091218	49	30	35	32	14	8	3
20091211	41	43	44	46	20	2	9
20091204	25	30	19	18	44	3	1
20091127	33	15	13	5	8	8	9
20091120	47	9	28	5	43	2	9
20091113	15	25	32	26	13	4	3
20091106	19	43	45	34	11	5	9
20091030	35	9	33	38	40	6	2
20091023	20	6	18	29	31	8	2
20091016	23	30	31	47	12	3	4
20091009	29	11	46	7	50	4	7
20091002	44	29	24	23	22	5	1
20090925	6	21	18	17	34	9	3
20090918	30	16	41	38	6	2	4
20090911	42	15	12	35	43	6	4
20090904	20	39	6	9	38	9	3
20090828	37	41	49	36	8	7	5
20090821	16	42	31	7	4	5	3
20090814	30	5	8	49	24	9	3
20090807	22	10	31	24	20	7	2
20090731	26	9	20	21	5	6	3
20090724	15	47	35	25	14	9	5
20090717	17	50	8	2	32	3	7
20090710	42	20	6	16	46	1	6
20090703	29	47	46	34	21	6	8
20090626	21	6	11	39	30	8	2
20090619	20	17	16	4	29	7	5
20090612	50	14	6	16	34	6	4
20090605	35	19	40	26	11	2	5
20090529	30	47	2	37	5	6	3
20090522	43	4	14	33	13	6	1
20090515	19	8	42	18	20	5	9
20090508	4	29	23	31	24	9	8
20090501	38	47	31	19	5	3	5
20090424	21	4	24	14	41	5	8
20090417	7	4	21	44	47	1	5
20090410	37	14	9	46	16	2	4
20090403	46	24	32	20	2	1	9
20090327	25	42	36	33	38	6	7
20090320	31	12	35	23	16	4	6
20090313	36	42	26	12	24	1	4
20090306	13	35	25	17	19	5	6
20090227	9	44	5	37	45	9	6
20090220	13	48	9	12	14	1	2
20090213	33	36	40	22	42	1	2
20090206	36	30	20	40	10	3	5
20090130	4	34	35	46	29	5	8
20090123	36	49	33	40	32	2	8
20090116	50	22	17	3	49	3	6
20090109	22	7	15	28	48	4	1
20090102	48	30	29	37	36	1	6
20081226	44	26	2	1	50	1	7
20081219	29	50	46	28	40	5	7
20081212	2	19	42	28	49	7	2
20081205	35	8	21	45	4	5	8
20081128	8	25	11	41	16	4	2
20081121	50	49	21	9	14	8	3
20081114	14	26	10	8	21	4	3
20081107	9	1	17	12	18	3	4
20081031	34	25	3	41	18	5	2
20081024	45	7	15	16	17	6	9
20081017	50	12	10	3	42	1	5
20081010	15	31	22	4	41	6	1
20081003	4	38	13	19	23	2	3
20080926	31	29	33	14	37	2	1
20080919	14	16	19	31	20	9	6
20080912	23	33	37	19	50	7	3
20080905	17	12	39	16	7	3	8
20080829	2	20	37	25	39	8	5
20080822	50	27	29	39	7	7	5
20080815	18	11	17	26	31	6	5
20080808	15	5	16	45	4	7	4
20080801	25	40	22	50	1	1	8
20080725	29	7	15	24	11	7	2
20080718	16	14	44	10	29	6	5
20080711	37	19	11	13	9	3	4
20080704	19	22	48	7	27	7	5
20080627	20	44	5	50	26	5	7
20080620	11	8	36	37	45	3	5
20080613	16	37	44	50	13	9	1
20080606	21	40	19	50	7	2	9
20080530	14	20	49	7	5	8	2
20080523	5	38	9	19	21	1	7
20080516	6	38	9	25	15	4	9
20080509	8	9	42	40	45	7	6
20080502	26	48	45	37	2	8	4
20080425	4	30	26	19	27	8	3
20080418	27	6	7	50	3	5	9
20080411	50	30	25	45	6	5	7
20080404	18	37	47	13	11	6	1
20080328	39	9	29	5	17	3	6
20080321	10	2	22	18	36	6	4
20080314	13	48	35	21	25	4	8
20080307	14	17	7	35	2	6	1
20080229	37	47	49	40	12	9	2
20080222	46	50	4	27	32	8	9
20080215	27	45	12	29	46	7	4
20080208	17	38	28	44	30	1	4
20080201	30	49	45	47	22	4	9
20080125	2	19	9	45	6	7	8
20080118	46	40	16	14	23	8	4
20080111	24	36	50	8	49	4	8
20080104	41	24	10	12	25	3	5
20071228	45	31	20	22	21	9	7
20071221	37	7	44	28	9	7	6
20071214	8	30	36	25	44	4	3
20071207	48	43	4	2	32	1	7
20071130	38	20	12	19	30	9	7
20071123	22	2	48	29	10	9	3
20071116	23	18	33	37	9	1	8
20071109	14	25	36	5	22	6	5
20071102	40	16	3	19	18	2	1
20071026	20	7	38	40	43	8	1
20071019	7	18	34	35	40	7	8
20071012	36	47	21	32	46	3	4
20071005	20	27	35	44	11	5	2
20070928	22	34	44	30	35	4	5
20070921	35	37	17	1	32	8	1
20070914	33	29	5	9	11	7	9
20070907	42	3	34	2	33	5	3
20070831	22	37	23	18	6	6	5
20070824	16	3	42	1	48	2	3
20070817	2	13	42	3	38	7	8
20070810	40	43	49	42	23	6	2
20070803	41	33	37	30	10	1	8
20070727	4	29	21	1	41	8	7
20070720	50	26	10	21	25	9	4
20070713	13	9	31	15	48	6	3
20070706	39	41	4	19	5	9	8
20070629	28	8	33	45	12	1	3
20070622	22	17	16	11	34	5	6
20070615	5	14	40	7	21	3	8
20070608	15	17	25	45	1	8	2
20070601	22	41	42	37	6	6	9
20070525	49	26	50	29	25	8	7
20070518	49	37	34	26	39	2	6
20070511	12	26	49	7	29	6	2
20070504	17	41	35	6	45	1	5
20070427	44	18	7	36	27	1	2
20070420	41	26	32	45	23	3	7
20070413	20	41	38	7	25	3	7
20070406	41	48	29	23	15	6	3
20070330	19	9	46	17	41	1	8
20070323	43	17	5	40	13	3	1
20070316	45	4	31	49	14	9	4
20070309	43	25	3	2	48	9	6
20070302	3	16	48	34	38	8	5
20070223	20	2	22	18	15	5	2
20070216	19	39	20	50	8	6	9
20070209	36	16	46	30	14	8	2
20070202	36	14	27	23	30	1	6
20070126	38	11	23	15	30	4	9
20070119	27	5	13	33	42	4	2
